entry_step,exit_step,entry_time,exit_time,side,entry_price,exit_price,sl_price,tp_price,lot_size,gross_profit,entry_commission,exit_commission,profit,net_profit,type,exit_reason,holding_period,balance_after_trade
91,91,2026-03-13 00:00:00,2026-03-13 00:00:00,long,5080.793671738923,5029.985735021533,5029.985735021533,5182.409545173701,0.0022627612062658033,-11.496622817451701,0.5,0.5,-11.996622817451701,-11.996622817451701,SL,SL,0,1137.1656589277109
92,92,2026-03-16 00:00:00,2026-03-16 00:00:00,long,5019.331458467283,4969.138143882609,4969.138143882609,5119.718087636628,0.0022655719558217,-11.371656589277219,0.5,0.5,-11.871656589277219,-11.871656589277219,SL,SL,0,1124.7940023384338
93,94,2026-03-17 00:00:00,2026-03-18 00:00:00,long,5006.270852864373,5006.695340307327,4956.208144335729,5106.396269921661,0.0022467701716435795,0.09537257250646179,0.5,0.5,-0.4046274274935382,-0.4046274274935382,manual_close_buy,manual_close_buy,1,1123.8893749109402
95,95,2026-03-19 00:00:00,2026-03-19 00:00:00,long,4825.663393948587,4777.406760009101,4777.406760009101,4922.176661827559,0.0023289841896562964,-11.238893749109472,0.5,0.5,-11.738893749109472,-11.738893749109472,SL,SL,0,1111.6504811618308
96,96,2026-03-20 00:00:00,2026-03-20 00:00:00,long,4649.7358302741695,4603.238471971428,4603.238471971428,4742.730546879653,0.002390782018031943,-11.116504811618217,0.5,0.5,-11.616504811618217,-11.616504811618217,SL,SL,0,1099.5339763502127
97,97,2026-03-23 00:00:00,2026-03-23 00:00:00,long,4491.7381383892025,4446.82075700531,4446.82075700531,4581.5729011569865,0.0024479031111651586,-10.995339763502233,0.5,0.5,-11.495339763502233,-11.495339763502233,SL,SL,0,1087.5386365867105
98,98,2026-03-24 00:00:00,2026-03-24 00:00:00,long,4413.909359375777,4369.770265782019,4369.770265782019,4502.187546563293,0.0024638898265471228,-10.875386365867145,0.5,0.5,-11.375386365867145,-11.375386365867145,SL,SL,0,1075.6632502208433
99,99,2026-03-25 00:00:00,2026-03-25 00:00:00,long,4473.626191651473,4563.0987154845025,4428.889929734958,4563.0987154845025,0.002404454918983193,21.513265004416827,0.5,0.5,21.013265004416827,21.013265004416827,TP,TP,0,1096.1765152252601
100,100,2026-03-26 00:00:00,2026-03-26 00:00:00,long,4511.905703215235,4466.786646183083,4466.786646183083,4602.14381727954,0.002429520001812344,-10.9617651522526,0.5,0.5,-11.4617651522526,-11.4617651522526,SL,SL,0,1084.2147500730075
101,101,2026-03-27 00:00:00,2026-03-27 00:00:00,long,4390.268389820912,4478.07375761733,4346.365705922703,4478.07375761733,0.002469586489488482,21.68429500146011,0.5,0.5,21.18429500146011,21.18429500146011,TP,TP,0,1104.8990450744677
102,102,2026-03-30 00:00:00,2026-03-30 00:00:00,long,4493.116431354033,4448.185267040492,4448.185267040492,4582.978759981113,0.002459092841138547,-11.048990450744755,0.5,0.5,-11.548990450744755,-11.548990450744755,SL,SL,0,1092.850054623723
103,103,2026-03-31 00:00:00,2026-03-31 00:00:00,long,4512.040638686144,4602.281451459867,4466.920232299282,4602.281451459867,0.0024220749371219067,21.857001092474395,0.5,0.5,21.357001092474395,21.357001092474395,TP,TP,0,1113.7070557161974
104,104,2026-04-01 00:00:00,2026-04-01 00:00:00,long,4672.1514020384675,4765.594430079237,4625.429888018083,4765.594430079237,0.0023837135398272523,22.27414111432401,0.5,0.5,21.77414111432401,21.77414111432401,TP,TP,0,1134.9811968305214
105,105,2026-04-02 00:00:00,2026-04-02 00:00:00,long,4758.8466972919905,4711.25823031907,4711.25823031907,4854.02363123783,0.002384992139957733,-11.349811968305307,0.5,0.5,-11.849811968305307,-11.849811968305307,SL,SL,0,1122.631384862216
106,107,2026-04-03 00:00:00,2026-04-06 00:00:00,long,4676.4722712073135,4653.689004786077,4629.70754849524,4770.00171663146,0.002400594550242867,-5.4693385207551595,0.5,0.5,-5.9693385207551595,-5.9693385207551595,manual_close_buy,manual_close_buy,1,1116.1620463414608
108,108,2026-04-07 00:00:00,2026-04-07 00:00:00,long,4660.12223593506,4613.52101357571,4613.52101357571,4753.324680653762,0.002395134697829447,-11.161620463414629,0.5,0.5,-11.661620463414629,-11.661620463414629,SL,SL,0,1104.0004258780461
109,109,2026-04-08 00:00:00,2026-04-08 00:00:00,long,4744.596187723026,4839.488111477486,4697.150225845795,4839.488111477486,0.0023268585611874084,22.080008517560934,0.5,0.5,21.580008517560934,21.580008517560934,TP,TP,0,1125.080434395607
110,111,2026-04-09 00:00:00,2026-04-10 00:00:00,long,4730.546127177903,4765.67010447751,4683.240665906124,4825.157049721462,0.0023783309667604804,8.353644288744713,0.5,0.5,7.853644288744713,7.853644288744713,manual_close_buy,manual_close_buy,1,1132.4340786843518
112,113,2026-04-13 00:00:00,2026-04-14 00:00:00,long,4686.975231210272,4742.979632037508,4640.105478898169,4780.714735834477,0.002416129855228474,13.531390486286755,0.5,0.5,13.031390486286755,13.031390486286755,manual_close_buy,manual_close_buy,1,1144.9654691706385
114,114,2026-04-15 00:00:00,2026-04-15 00:00:00,long,4841.154615627558,4792.743069471282,4792.743069471282,4937.977707940109,0.002365066931501457,-11.449654691706488,0.5,0.5,-11.949654691706488,-11.949654691706488,SL,SL,0,1132.515814478932
115,116,2026-04-16 00:00:00,2026-04-17 00:00:00,long,4791.9181021226095,4792.300151208915,4743.9989211013835,4887.7564641650615,0.002363387249830662,0.09029299393836712,0.5,0.5,-0.4097070060616329,-0.4097070060616329,manual_close_buy,manual_close_buy,1,1131.6061074728705
117,117,2026-04-20 00:00:00,2026-04-20 00:00:00,long,4793.043028259312,4745.112597976719,4745.112597976719,4888.903888824499,0.0023609345895729116,-11.316061074728694,0.5,0.5,-11.816061074728694,-11.816061074728694,SL,SL,0,1119.2900463981418
118,118,2026-04-21 00:00:00,2026-04-21 00:00:00,long,4820.336181261056,4772.132819448445,4772.132819448445,4916.742904886277,0.0023220165654614625,-11.192900463981436,0.5,0.5,-11.692900463981436,-11.692900463981436,SL,SL,0,1107.0971459341604
119,120,2026-04-22 00:00:00,2026-04-23 00:00:00,long,4721.858764991932,4738.651800590212,4674.640177342012,4816.29594029177,0.002344621474369855,3.9373311883584377,0.5,0.5,3.4373311883584377,3.4373311883584377,manual_close_buy,manual_close_buy,1,1110.0344771225189
121,122,2026-04-24 00:00:00,2026-04-26 00:00:00,long,4694.036189766455,4699.05085806907,4647.09582786879,4787.916913561784,0.0023647761377352033,1.18585679406812,0.5,0.5,0.68585679406812,0.68585679406812,manual_close_buy,manual_close_buy,1,1110.220333916587
123,124,2026-04-27 00:00:00,2026-04-28 00:00:00,long,4699.169970713381,4681.996586996145,4652.178271006247,4793.1533701276485,0.002362588160964189,-4.057363305403693,0.5,0.5,-4.557363305403693,-4.557363305403693,manual_close_buy,manual_close_buy,1,1105.1629706111833
125,125,2026-04-29 00:00:00,2026-04-29 00:00:00,long,4595.666917637735,4549.710248461358,4549.710248461358,4687.5802559904905,0.002404793450912798,-11.051629706111878,0.5,0.5,-11.551629706111878,-11.551629706111878,SL,SL,0,1093.1113409050713
126,126,2026-04-30 00:00:00,2026-04-30 00:00:00,long,4541.657875090396,4632.491032592205,4496.241296339493,4632.491032592205,0.0024068553179675918,21.862226818101508,0.5,0.5,21.362226818101508,21.362226818101508,TP,TP,0,1113.973567723173
127,127,2026-05-01 00:00:00,2026-05-01 00:00:00,long,4626.311689018916,4580.048572128727,4580.048572128727,4718.837922799295,0.002407908594588033,-11.139735677231675,0.5,0.5,-11.639735677231675,-11.639735677231675,SL,SL,0,1101.833832045941
